DBN,min,max,mean
16K498,14,33.7,26.41351351
16K594,12,24,17.62222222
16K669,13,42,26.39
16K688,5,36,21.63888889
16K765,10,32,21.34736842
17K122,12.8,28.8,19.85882353
17K382,10,36.4,23.23333333
17K408,15.5,32,24.63684211
17K489,12,17,15.55555556
17K524,12.8,12.8,12.8
17K528,15,31,23.98333333
17K531,16,35,27.92916667
17K533,10,33,21.92222222
17K537,12.5,34,22.41034483
17K539,11,42,23.95
17K543,10,33.5,23.72380952
17K546,6,35,23.7969697
17K547,6.5,32.5,22.83448276
17K548,16.5,34,27.77777778
17K568,10,22,13.13636364
17K590,19.5,35.7,27.87916667
17K600,9.5,34,24.94102564
17K745,17.7,30,22.64482759
17K751,5,31,20.64285714
18K068,12,12,12
18K563,17.5,30.6,23.39117647
18K566,10,21,15.41428571
18K567,13.3,34,26.66086957
18K569,13.5,34,26.88275862
18K576,16,33,25.5375
18K578,10.7,29,19.4
18K588,12,26,18.33333333
18K589,10,33,20.48214286
18K617,10,31,21.23461538
18K629,16.7,31,24.890625
18K633,16.5,34,25.55172414
18K635,13,32,23.44285714
18K637,13.3,35,26.59
18K642,7,34,25.525
18K673,13,22.5,17.55555556
19K404,18,32,23.93103448
19K409,14,34,22.02
19K422,24,28,26
19K502,13,34,24.23703704
19K504,10,30.3,21.34230769
19K507,6,34,21.77941176
19K510,13,34,23.53333333
19K583,18.5,28.5,23.69375
19K615,8,32,24.790625
19K618,17.3,29.3,21.53846154
19K639,21,32.7,26.54827586
19K659,10,34,21.22142857
19K660,10.3,34,24.98484848
19K683,5,34,21.99393939
19K764,11,30,25.375
20K223,10,30,22.33333333
20K227,29,29,29
20K445,5.5,34.4,25.41041667
20K485,9,34,24.26904762
20K490,5,34,26.43333333
20K505,5.3,34,24.47735849
20K609,13,30,20.98518519
21K337,15.2,23.5,20.22307692
21K344,12,34,27.83333333
21K348,12.5,32,21.38333333
21K410,8.5,33.5,23.65957447
21K468,12,35.5,22.09259259
21K525,6,33.4,26.08958333
21K540,7.5,33.7,25.58
21K559,10,34,27.46551724
21K572,17.5,32,21.40588235
21K620,8,34,22.23488372
21K690,6,34.5,26.965
21K728,10,30,19.22727273
22K405,6,34,27.8627907
22K425,8,34,26.73023256
22K495,5,35,18.49545455
22K535,23.3,34,31.08709677
22K555,18,34,25.57096774
22K611,12.5,33,22.49473684
22K630,10.5,20,14.13636364
23K363,12,12,12
23K493,11,32,22.92916667
23K514,11,34,22.91333333
23K643,10.5,30.5,17.69333333
23K644,10,27,16.852
23K646,11,31,22.28076923
23K647,10,25,16.64
23K697,6,32,23.31
24Q236,20,26.5,23.49
24Q264,25.3,35,30.91724138
